Model_ID	Type	Subtype	Resfam Family name	Description	ARO Identifiers	HMM Source	Antibiotic Classification (Resfam Only)Mechanism Classification	Ressistance Mechanism	
RF0150	vancomycin	vanB	vanB	VanB: D-Ala-D-Ala ligase that can synthesize D-Ala-D-Lac	ARO:3000013	Resfam	Gylcopeptide Resistance	Gylcopeptide Resistance	
RF0151	vancomycin	vanC	vanC	VanC: D-Ala-D-Ala ligase that can synthesize D-Ala-D-Ser	ARO:3000368	Resfam	Gylcopeptide Resistance	Gylcopeptide Resistance	
RF0152	vancomycin	vanD	vanD	VanD: D-Ala-D-Ala ligase that can synthesize D-Ala-D-Lac	ARO:3000005	Resfam	Gylcopeptide Resistance	Gylcopeptide Resistance	
RF0153	vancomycin	vanH	vanH	VanH: D-specific alpha-ketoacid dehydrogenase that synthesizes D-lactate	ARO:3000006	Resfam	Gylcopeptide Resistance	Gylcopeptide Resistance	
RF0154	vancomycin	vanR	vanR	"VanR: transcriptional activator regulating VanA, VanH and VanX"	ARO:3000574	Resfam	Gylcopeptide Resistance	Gene Modulating Resistance	
RF0155	vancomycin	vanS	vanS	VanS: trasncriptional regulator of van glycopeptide resistance genes	ARO:3000071	Resfam	Gylcopeptide Resistance	Gene Modulating Resistance	
RF0156	vancomycin	vanT	vanT	"VanT: membrane bound serine racemase, converting L-serine to D-serine"	ARO:3000372	Resfam	Gylcopeptide Resistance	Gylcopeptide Resistance	
RF0157	vancomycin	vanW	vanW	VanW: glycopeptide resistance gene	ARO:3000002	Resfam	Gylcopeptide Resistance	Gylcopeptide Resistance	
RF0158	vancomycin	vanX	vanX	VanX: glycopeptide resistance gene	ARO:3000011	Resfam	Gylcopeptide Resistance	Gylcopeptide Resistance	
RF0159	vancomycin	vanY	vanY	VanY: glycopeptide resistance gene	ARO:3000077	Resfam	Gylcopeptide Resistance	Gylcopeptide Resistance	
RF0160	vancomycin	vanZ	vanZ	VanZ: glycopeptide resistance gene	ARO:3000116	Resfam	Gylcopeptide Resistance	Gylcopeptide Resistance	
